country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Philippines,PHL,2/28/21,0,0,,,,0,0,,,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/1/21,,,,,1396,,,,13,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/2/21,2793,2793,,,1396,0,0,,13,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/3/21,,,,,2696,,,,25,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/4/21,,,,,3346,,,,31,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/5/21,,,,,3735,,,,34,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/6/21,,,,,3995,,,,36,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/7/21,29266,29266,,,4181,0.03,0.03,,38,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/8/21,44000,44000,,14734,6086,0.04,0.04,,56,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/9/21,,,,,10922,,,,100,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/10/21,114500,114500,,,15202,0.1,0.1,,139,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/11/21,,,,,17345,,,,158,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/12/21,,,,,19489,,,,178,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/13/21,,,,,21632,,,,197,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/14/21,,,,,23776,,,,217,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/15/21,215997,215997,,,24571,0.2,0.2,,224,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/16/21,,,,,20692,,,,189,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/17/21,,,,,16814,,,,153,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/18/21,240297,240297,,,15071,0.22,0.22,,138,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/19/21,,,,,15613,,,,142,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/20/21,,,,,16154,,,,147,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/21/21,,,,,16696,,,,152,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/22/21,336656,336656,,,17237,0.31,0.31,,157,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/23/21,,,,,28342,,,,259,"Oxford/AstraZeneca, Sinovac"
Philippines,PHL,3/24/21,508332,508332,,,39448,0.46,0.46,,360,"Oxford/AstraZeneca, Sinovac"